	txt	labels
22673	same answer which you were about to give me then.	0
24142	this is he who being the greatest tyrant of himself is also the greatest	0
3132	but winky cried harder than ever.  dobby, on the other hand, beamed up at harry.	1
17831	from without; there let them encamp, and when they have encamped, let	0
11142	to the number of days and nights in a year (365 x 2 = 730); and is	0
24557	of them all should be uniting the several parts with one another and	0
3239	 'course she did, said harry, throwing lumps of dragon liver into a large metal bowl and picking up his knife to cut some more.  she can't keep writing about what a tragic little hero i am, it'll get boring.	1
9196	dangers; and also, as we must now further add, in the highest branches	0
11448	her to return upon condition that she makes a defence of herself in	0
13536	and clear impressions' becomes hard and crowded; there is not room	0
4963	karkaroff straightened himself as best he could, tightly bound to the chair.	1
19503	women given them; their bravery will be a reason, and such fathers ought	0
23560	this, when assembled, is the largest and most powerful class in a	0
19668	them to utter the names of family ties with the lips only and not to act	0
5704	you didn't... it - it can't be you. ...	1
10435	pleasures. perhaps i ought to explain this latter term:--necessary	0
13320	of delphi, lesser matters are to be left to the temporary regulation	0
20482	motives which make another man desirous of having and spending, have no	0
2624	the article had appeared ten days ago, and harry still got a sick, burning feeling of shame in his stomach every time he thought about it.  rita skeeter had reported him saying an awful lot of things that he couldn't remember ever saying in his life, let alone in that broom cupboard.	1
6226	moderns, was the first who conceived a method of knowledge, although	0
1110	i told you, it's you-know-who's symbol, ron, said hermione, before anyone else could answer.  i read about it in the rise and fall of the dark arts.	1
361	mrs. weasley had just entered the kitchen.  she was a short, plump woman with a very kind face, though her eyes were presently narrowed with suspicion.	1
12227	archytas of tarentum, retained their political influence over the cities	0
13237	sights or sounds which may hurt the character or vitiate the taste.	0
13272	they are both equally designed for the improvement of the mind. the	0
15318	true, he replied; and i will add that the best and most perfectly unjust	0
13622	order to meet the increasing complexity of affairs were still ascribed	0
21319	still, i must implore you, socrates, said glaucon, not to turn away just	0
20755	are aware, these new sophists and educators, who are the public, apply	0
6036	dunno what yeh're talkin' about, said hagrid airily, fetching more cups from the dresser.  when he had made tea and offered around a plate of doughy cookies, he leaned back in his chair and surveyed harry closely through his beetle-black eyes.	1
1678	 what - what are you doing?  said professor mcgonagall, her eyes following the bouncing ferret's progress through the air.	1
17292	lover and his beloved; neither of them can have any part in it if their	0
11588	stood hymning upon each circle, while lachesis, clotho, and atropos, the	0
8298	criticism, which, under the various names of harmony, symmetry, measure,	0
18429	pass out of sight and escape us; for beyond a doubt she is somewhere in	0
18304	things to be feared and not to be feared in which our legislator	0
9346	the anomaly in an allegory, first characteristically depreciating his	0
4452	bagman told me they hadn't, said harry.	1
9755	one or more than one. number replies that they are two and not one, and	0
17549	have no examples of what evil is in their own souls.	0
17941	government are only seeming and not real guardians, then see how they	0
5402	cedric looked down at the triwizard cup and then up at harry.	1
5745	crouch!  snape said, stopping dead in the doorway.  barty crouch!	1
8573	exclusively in a bad sense; there is no connotation of a just or	0
24753	no wonder, then, that his work too is an indistinct expression of truth.	0
13024	intermediate axioms.' plato himself seems to have imagined that the	0
8766	termed slaves, are by us termed nurturers and paymasters, and those who	0
10401	risk. but the ruling class do not want remedies; they care only for	0
17752	the furnace, that we may discover whether they are armed against	0
22305	this, and only to one who is a disciple of the previous sciences.	0
23682	by the dog! i said, here are more drones, of every sort and from every	0
14264	the human heart, regarded as a person or not as a person, with or	0
22395	through all the intellectual discipline and study which we require of	0
3588	hagrid pulled out a large spotted silk handkerchief and blew his nose heavily.	1
9340	the time had come when the negative and interrogative method of socrates	0
8858	all the worse for being impracticable? would the picture of a perfectly	0
23122	awakening his expensive appetites and inviting them to help and join in	0
5635	a torrent of sound deafened and confused him; there were voices everywhere, footsteps, screams. ... he remained where he was, his face screwed up against the noise, as though it were a nightmare that would pass. . . .	1
14882	and do you imagine, i said, that i am such a madman as to try and cheat,	0
19070	what sort of community of women and children is this which is to prevail	0
9873	to the hymn. what, then, is the nature of dialectic, and what are the	0
2801	talon-clipping by charms. .. treating scale-rot. . .' this is no good, this is for nutters like hagrid who want to keep them healthy. ..	1
10251	famous lacedaemonian or cretan commonwealth; secondly, oligarchy, a	0
9028	to blame for his uselessness. the philosopher should not beg of mankind	0
9478	is implied also the opposition of the permanent and transient, of the	0
18802	in the soul, there will only be two, the rational and the concupiscent;	0
24640	body as to preserve the harmony of the soul?	0
6264	itself, and from the third book of the laws, in what manner plato would	0
4553	hermione told him about the hate mail she had received that morning, and the envelope full of bubotuber pus.	1
14448	tell me then, o thou heir of the argument, what did simonides say, and	0
10964	he will defraud and deceive them; and if they openly resist, what then?	0
25693	of a woman cunning in the arts; and far away among the last who chose,	0
10025	the spheres,--to this is appended the sister science of the harmony	0
20947	no, he said; there you are wrong, for i was going to ask another	0
25938	warranties of any kind, express or implied, including but not limited to	0
4650	mr. crouch's eyes were bulging.  he stood staring at the tree, muttering soundlessly at it.  then he staggered sideways and fell to his knees.	1
6442	under the author's hand; new thoughts occur to him in the act of	0
22308	of comprehending by any regular process all true existence or of	0
12719	the relation of the sexes and the moral nature of man, there is a	0
9766	an elevating effect; it raises the mind out of the foam and flux of	0
11419	power which poetry has of injuriously exciting the feelings. when we	0
25902	effort to identify, do copyright research on, transcribe and proofread	0
7126	festive games, or with charms and invocations to get rid of an enemy	0
12702	the violation of it. but in all times of transition, when established	0
10605	the first of these declining states is timocracy, or the government of	0
16628	and therefore he will be least likely to lament, and will bear with the	0
4461	he handed harry the empty napkin and flask and went to pat buckbeak good-bye.  i'll walk to the edge of the village with you, said sirius, see if i can scrounge another paper.	1
12132	regarded more lightly than in the rest of greece. the 'suprema lex'	0
2370	it most certainly isn't! said the pale witch indignantly.	1
15463	then, my blessed thrasymachus, injustice can never be more profitable	0
9696	earth, his intelligence will be turned round, and he will behold the	0
4674	just stay with him, said harry, starting to get up, but his movement seemed to trigger another abrupt change in mr. crouch, who seized him hard around the knees and pulled harry back to the ground.	1
14188	when embodied in a state or in a system of philosophy, but they still	0
17240	now in the days of his youth, even before he is able to know the reason	0
9371	generally or without regard to the kind of excellence which is	0
11521	unjust--they bear rule in the city, they marry and give in marriage to	0
22010	calculating, and if you divide, they multiply (meaning either (1)	0
19627	all of whom will call one another citizens?	0
9933	at thirty a further selection shall be made of those who are able to	0
1019	stunned? by you lot, you mean? but why - ?	1
5003	i have given evidence already on this matter, he said calmly.  severus snape was indeed a death eater. however, he rejoined our side before lord voldemort's downfall and turned spy for us, at great personal risk.  he is now no more a death eater than i am.	1
23894	he would strike the mother who is his ancient friend and necessary	0
19587	can there be any greater evil than discord and distraction and plurality	0
25650	for this is the way of happiness.	0
9262	in this division the mind works with figures and numbers, the images of	0
4219	percy seized ron and was dragging him back to the bank (gerroff, percy, i'm all right!); dumbledore and bagman were pulling harry upright; fleur had broken free of madame maxime and was hugging her sister.	1
5811	of course, said professor mcgonagall.  she looked slightly nauseous, as though she had just watched someone being sick.  however, when she drew out her wand and pointed it at barty crouch, her hand was quite steady.	1
17324	care of him is ridiculous indeed.	0
11093	pain, and have not only their reactions when they depart, but their	0
13014	favourable intellectual condition than to rest satisfied in a narrow	0
20659	live and grow truly, and then, and not till then, will he cease from his	0
25442	such, then, are the palms of victory which the gods give the just?	0
3353	oh well spotted, she said acidly.	1
20288	same as the subject-matter of knowledge?	0
1914	but - but you said it's illegal, professor, said hermione uncertainly as moody cleared away the desks with a sweep of his wand, leaving a large clear space in the middle of the room. you said - to use it against another human was -	1
22094	of the soul which, when by other pursuits lost and dimmed, is by these	0
9357	are some kinds of excellence which spring from a peculiar delicacy	0
14341	and this is a question which i should like to ask of you who have	0
13938	by his manner of mixing up real and imaginary persons; his boy john	0
9513	equally with the vagueness of the perception of shadows (greek) and the	0
3703	we weren't trying to hear him! said ron indignantly.  we didn't have any choice!  the stupid prat, talking about his giantess mother where anyone could have heard him!	1
12966	without children, he might have converted his republic into a religious	0
23998	is dazzled at the pompous aspect which the tyrannical nature assumes to	0
22453	to the body; but knowledge which is acquired under compulsion obtains no	0
1276	yeah, well, dad collects plugs, doesn't he?  said fred quietly as mrs. weasley left the room.  birds of a feather. . .	1
2440	hope you're okay, and buckbeak  -  harry	1
25393	affections and of the forms which she takes in this present life i think	0
402	yeah, thanks a lot,  said harry.  they saved my life, those cakes.	1
5084	you are not sirius's only correspondent, said dumbledore.  i have also been in contact with him ever since he left hogwarts last year.  it was i who suggested the mountainside cave as the safest place for him to stay.	1
16456	if he change at all he can only change for the worse, for we cannot	0
21619	the years, and is the guardian of all that is in the visible world, and	0
659	anyone can speak troll, said fred dismissively.  all you have to do is point and grunt.	1
20324	which is and is not at the same time, that sort of thing would appear	0
2965	she cleaned the cut with a dab of some purple liquid that smoked and stung, but then poked his shoulder with her wand, and he felt it heal instantly.	1
18241	in this i detect a certain peculiarity.	0
6613	enough of fechting' (cp. the character of him in xen. mem. iii. 6);	0
2905	ladies first, he said, offering it to fleur delacour.	1
23705	and therefore, i said, the tragic poets being wise men will forgive us	0
20991	as we intend them to live happily here, and to crown this life with a	0
4470	the house-elves gave them a very cheery welcome, bowing and curtsying and bustling around making tea again.  dobby was ecstatic about his present.	1
23789	first indulged his appetites neither too much nor too little, but just	0
13614	maintenance of them. they were sanctioned by the authority of heaven,	0
24601	such appears to be the reason.	0
2274	the faces in the portraits turned to look at him as he entered.  he saw a wizened witch flit out of the frame of her picture and into the one next to it, which contained a wizard with a walrus mustache.  the wizened witch started whispering in his ear.	1
22672	same position; and let me ask the same questions, and do you give me the	0
25458	in marriage to whom they will; all that you said of the others i now say	0
6929	their interest is not comprehended in their art, and is therefore the	0
18749	thirsts and feels the flutterings of any other desire, may be termed	0
23226	most charming, so there are many men to whom this state, which is	0
18154	doctoring and increasing and complicating their disorders, and always	0
6722	plato is most true to the character of his master when he describes him	0
19179	that will be much the best way.	0
19074	yes, my simple friend, but the answer is the reverse of easy; many more	0
13954	translator thinks) is desirous of being sent thither as a missionary by	0
692	it's classified information, until such time as the ministry decides to release it, said percy stiffly.  mr. crouch was quite right not to disclose it.	1
5940	avery - nott - crabbe - goyle -	1
25516	thousand years. if, for example, there were any who had been the cause	0
9425	probably have described his method as proceeding by regular steps to a	0
13755	though less perfect in style than the republic and of far less range,	0
17997	what, now, i said, if he were able to run away and then turn and strike	0
4158	harry twisted his body around and saw a grindylow, a small, horned water demon, poking out of the weed, its long fingers clutched tightly around harry's leg, its pointed fangs bared - harry stuck his webbed hand quickly inside his robes and fumbled for his wand.  by the time he had grasped it, two more grindylows had risen out of the weed, had seized handfuls of harry's robes, and were attempting to drag him down.	1
20248	corresponding to this difference of faculties?	0
5225	there you are, are you? he said, looking harry up and down.	1
24602	and therefore, being desirous of placing him under a rule like that of	0
15843	that justice is another's good and the interest of the stronger, and	0
17336	then, i said, a finer sort of training will be required for our warrior	0
3459	hi, said padma, who was looking just as pretty as parvati in robes of bright turquoise. she didn't look too enthusiastic about having ron as a partner, though; her dark eyes lingered on the frayed neck and sleeves of his dress robes as she looked him up and down.	1
26016	outside the united states.  u.s. laws alone swamp our small staff.	0
5238	come to watch harry in the last task!  said mrs. weasley brightly.  i must say, it makes a lovely change, not having to cook.  how was your exam?	1
11972	own age, which he deservedly ridicules. on the other hand, his argument	0
8732	certain part of the city, and there attended by suitable nurses; the	0
1072	winky has behaved tonight in a manner i would not have believed possible, he said slowly.  i told her to remain in the tent.  i told her to stay there while i went to sort out the trouble.  and i find that she disobeyed me.  this means clothes.	1
2531	i wonder if i could have a little word with harry before we start?  she said to bagman, but still gazing fixedly at harry.  the youngest champion, you know. . . to add a bit of color?	1
13693	(1) by aristotle in the politics from the side of the laws:--	0
622	harry laughed but didn't voice the amazement he felt at hearing about other wizarding schools.  he supposed, now that he saw representatives of so many nationalities in the campsite, that he had been stupid never to realize that hogwarts couldn't be the only one.  he glanced at hermione, who looked utterly unsurprised by the information.  no doubt she had run across the news about other wizarding schools in some book or other.	1
